Extracting CIFAR-100 to SLURM_TMPDIR...
Using device: cuda
Loading data from: /tmp
Starting exact memory-efficient training tracking batch deviations...
Epoch [136/160] | LR: 0.0706 | Train Acc: 99.97% | Test Acc: 76.54% | Time: 230.3s
Epoch [137/160] | LR: 0.0676 | Train Acc: 99.98% | Test Acc: 76.65% | Time: 230.5s
Epoch [138/160] | LR: 0.0647 | Train Acc: 99.98% | Test Acc: 76.61% | Time: 230.2s
Epoch [139/160] | LR: 0.0618 | Train Acc: 99.98% | Test Acc: 76.55% | Time: 230.4s
Epoch [140/160] | LR: 0.0588 | Train Acc: 99.99% | Test Acc: 76.55% | Time: 230.5s
Epoch [141/160] | LR: 0.0559 | Train Acc: 99.98% | Test Acc: 76.58% | Time: 230.4s
Epoch [142/160] | LR: 0.0529 | Train Acc: 99.98% | Test Acc: 76.56% | Time: 230.4s
Epoch [143/160] | LR: 0.0500 | Train Acc: 99.98% | Test Acc: 76.47% | Time: 230.4s
Epoch [144/160] | LR: 0.0471 | Train Acc: 99.97% | Test Acc: 76.63% | Time: 230.5s
Epoch [145/160] | LR: 0.0441 | Train Acc: 99.98% | Test Acc: 76.55% | Time: 230.5s
Epoch [146/160] | LR: 0.0412 | Train Acc: 99.97% | Test Acc: 76.57% | Time: 230.4s
Epoch [147/160] | LR: 0.0382 | Train Acc: 99.98% | Test Acc: 76.54% | Time: 230.4s
Epoch [148/160] | LR: 0.0353 | Train Acc: 99.98% | Test Acc: 76.57% | Time: 230.3s
Epoch [149/160] | LR: 0.0324 | Train Acc: 99.98% | Test Acc: 76.49% | Time: 230.4s
Epoch [150/160] | LR: 0.0294 | Train Acc: 99.98% | Test Acc: 76.47% | Time: 230.3s
Epoch [151/160] | LR: 0.0265 | Train Acc: 99.98% | Test Acc: 76.63% | Time: 230.4s
Epoch [152/160] | LR: 0.0235 | Train Acc: 99.98% | Test Acc: 76.63% | Time: 230.4s
Epoch [153/160] | LR: 0.0206 | Train Acc: 99.98% | Test Acc: 76.63% | Time: 230.3s
Epoch [154/160] | LR: 0.0176 | Train Acc: 99.97% | Test Acc: 76.55% | Time: 230.4s
Epoch [155/160] | LR: 0.0147 | Train Acc: 99.98% | Test Acc: 76.59% | Time: 230.4s
Epoch [156/160] | LR: 0.0118 | Train Acc: 99.98% | Test Acc: 76.63% | Time: 230.3s
Epoch [157/160] | LR: 0.0088 | Train Acc: 99.98% | Test Acc: 76.56% | Time: 230.3s
Epoch [158/160] | LR: 0.0059 | Train Acc: 99.99% | Test Acc: 76.57% | Time: 230.5s
Epoch [159/160] | LR: 0.0029 | Train Acc: 99.99% | Test Acc: 76.67% | Time: 230.3s
Epoch [160/160] | LR: 0.0000 | Train Acc: 99.98% | Test Acc: 76.57% | Time: 230.4s
Training complete! Exact scores saved to 'batch_gradient_deviation_scores.npy'.

======== GPU REPORT ========

==============NVSMI LOG==============

Timestamp                                 : Thu Apr 23 05:03:50 2026
Driver Version                            : 580.95.05
CUDA Version                              : 13.0

Attached GPUs                             : 1
GPU 00000000:14:00.0
    Accounting Mode                       : Enabled
    Accounting Mode Buffer Size           : 4000
    Accounted Processes
        Process ID                        : 701941
            GPU Utilization               : 97 %
            Memory Utilization            : 84 %
            Max memory usage              : 29386 MiB
            Time                          : 37542770 ms
            Is Running                    : 0

Thu Apr 23 05:03:50 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.95.05              Driver Version: 580.95.05      CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Quadro RTX 8000                On  |   00000000:14:00.0 Off |                    0 |
| 44%   64C    P2            146W /  260W |       1MiB /  46080MiB |     81%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+

======== GPU REPORT ========

==============NVSMI LOG==============

Timestamp                                 : Thu Apr 23 05:03:50 2026
Driver Version                            : 580.95.05
CUDA Version                              : 13.0

Attached GPUs                             : 1
GPU 00000000:14:00.0
    Accounting Mode                       : Enabled
    Accounting Mode Buffer Size           : 4000
    Accounted Processes
        Process ID                        : 701941
            GPU Utilization               : 97 %
            Memory Utilization            : 84 %
            Max memory usage              : 29386 MiB
            Time                          : 37542770 ms
            Is Running                    : 0

Thu Apr 23 05:03:50 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.95.05              Driver Version: 580.95.05      CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Quadro RTX 8000                On  |   00000000:14:00.0 Off |                    0 |
| 44%   64C    P2            146W /  260W |       1MiB /  46080MiB |     81%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
