Epoch,LR,Train Loss,Train Acc,Test Loss,Test Acc,Time(s)
53,0.31470588235294117,0.038133540876706444,98.98666666666666,1.8077942932128905,70.2,36.658629179000854
53,0.31470588235294117,0.025323150763412315,99.32333333333334,1.8626283752441406,69.38,36.72390961647034
52,0.3176470588235294,0.016250969501336414,99.64,1.6038247528076173,75.12,37.59439206123352
54,0.31176470588235294,0.033659317914644875,99.09333333333333,1.8885003295898437,69.29,36.776487827301025
54,0.31176470588235294,0.02099696958065033,99.46666666666667,1.8845647735595703,69.64,36.64391732215881
53,0.31470588235294117,0.012671648491422336,99.72,1.6877030853271484,74.74,37.57271957397461
55,0.3088235294117647,0.03407155848542849,99.14,1.8492871520996095,70.26,36.66335940361023
55,0.3088235294117647,0.021355172512928646,99.49,1.8834413848876954,69.36,36.683541774749756
54,0.31176470588235294,0.012189906280239422,99.75333333333333,1.6528700958251954,74.9,37.61051678657532
56,0.3058823529411765,0.02615473043322563,99.35,1.7774756713867188,71.4,36.68671202659607
56,0.3058823529411765,0.01788823499083519,99.59,1.8686331298828125,69.71,36.64081120491028
55,0.3088235294117647,0.01037659943724672,99.78,1.6166853240966796,75.18,37.60050964355469
57,0.30294117647058827,0.02410186559557915,99.42333333333333,1.8553293029785156,70.47,36.819735050201416
57,0.30294117647058827,0.013239269250631333,99.72666666666667,1.8618036224365235,70.02,36.652703285217285
56,0.3058823529411765,0.008675152894854545,99.83,1.6518324157714843,75.21,37.58106970787048
58,0.30000000000000004,0.020031439499060312,99.50333333333333,1.8248993530273439,71.39,36.698105812072754
58,0.30000000000000004,0.014830432130893072,99.63333333333334,1.847603677368164,69.64,36.64150071144104
57,0.30294117647058827,0.008530582304795583,99.81333333333333,1.642255340576172,75.39,37.60087537765503
59,0.29705882352941176,0.022817350948850314,99.43,1.87580791015625,71.11,36.679062366485596
59,0.29705882352941176,0.010803530111908913,99.78333333333333,1.87957158203125,70.04,36.669578075408936
58,0.30000000000000004,0.00724013754054904,99.87,1.6629771606445312,75.27,37.560614824295044
60,0.29411764705882354,0.022154645268122355,99.43666666666667,1.8286550048828125,71.19,36.696054220199585
60,0.29411764705882354,0.01025463189780712,99.78333333333333,1.8714797912597656,70.17,36.62582778930664
59,0.29705882352941176,0.005588052883247535,99.89666666666666,1.6565265747070312,75.67,37.59706974029541
61,0.2911764705882353,0.017624759760499,99.57333333333334,1.8040593627929689,71.66,36.68630933761597
61,0.2911764705882353,0.009475043752913673,99.78666666666666,1.8612789184570313,70.52,36.667341470718384
60,0.29411764705882354,0.006160795817151666,99.87333333333333,1.6459642425537109,75.55,37.56472659111023
62,0.2882352941176471,0.013106610917548339,99.70666666666666,1.8247166137695312,71.33,36.71181011199951
62,0.2882352941176471,0.007325586441407601,99.83333333333333,1.8862387573242188,70.59,36.615805864334106
61,0.2911764705882353,0.004931718237946431,99.89666666666666,1.6466813018798827,75.77,37.59105062484741
63,0.28529411764705886,0.011140703616539637,99.81,1.787637664794922,72.05,36.84470343589783
63,0.28529411764705886,0.005960143616050482,99.91666666666667,1.8851573669433594,70.75,36.609256982803345
62,0.2882352941176471,0.004379444654782613,99.91333333333333,1.63514169921875,76.16,37.565211057662964
64,0.28235294117647064,0.008822788279255232,99.84666666666666,1.8115640625,72.15,36.67778730392456
64,0.28235294117647064,0.006313813296457132,99.87,1.8988426483154297,71.01,36.63968062400818
63,0.28529411764705886,0.004106418150290847,99.92333333333333,1.6922738891601563,76.06,37.60056018829346
65,0.27941176470588236,0.010073271391789118,99.78666666666666,1.8383960327148436,72.01,36.665199756622314
65,0.27941176470588236,0.005179680918281277,99.90333333333334,1.8829466918945312,71.12,36.715192556381226
64,0.28235294117647064,0.0044519697073847056,99.93,1.6532688262939452,76.03,37.596089124679565
66,0.27647058823529413,0.009897199442485969,99.78333333333333,1.8320297485351562,72.14,36.764225006103516
66,0.27647058823529413,0.004243626543569068,99.9,1.85438193359375,71.22,36.79736566543579
65,0.27941176470588236,0.002975531758368015,99.95333333333333,1.6602987579345703,75.83,37.57210731506348
67,0.2735294117647059,0.007338000624254346,99.85,1.8298033386230468,72.29,36.654712438583374
67,0.2735294117647059,0.0046338149563719825,99.89666666666666,1.8626921051025391,70.97,36.741604804992676
66,0.27647058823529413,0.0040536431751213966,99.90666666666667,1.7017632843017578,75.66,37.593756914138794
68,0.2705882352941177,0.007952410608530044,99.82666666666667,1.807989825439453,72.39,36.64411234855652
68,0.2705882352941177,0.004720235792547464,99.91,1.8613956695556642,71.27,36.69585132598877
